conv_id,div_mean,div_variance,div_trend,div_max_spike,div_range,div_n_pairs,expr_mean,expr_variance,expr_trend,expr_range,expr_early_mean,expr_late_mean,expr_shift,repair_rate,constraint_pressure,hedge_assert_ratio,ai_refusal_rate,goal_drift_mean,goal_drift_variance,goal_stability,length_ratio,affect_mean,affect_variance,affect_trend,affect_range,affect_max,affect_min,affect_peak_count,affect_valley_count,valence_mean,valence_variance,valence_trend,n_messages,n_messages_log,n_user_messages,n_ai_messages,user_avg_length,ai_avg_length,user_length_var,ai_length_var
chatbot_arena_0001,0.14486447600482688,0.0062167511876803794,-0.11150561589158081,0.2006172839506173,0.11150561589158081,2,0.375,0.0625,-0.05,0.5,0.5,0.25,-0.25,0.0,0.0,0.5,1.5,0.8571428571428572,0.0,0.1428571428571428,10.0,0.442,0.0001568600000000002,-0.006120000000000014,0.028700000000000003,0.46,0.4313,1,1,0.5,0.0,0.0,4,1.6094379124341003,2,2,8,108.5,2,5304.5
chatbot_arena_0003,0.11648569582006116,0.032790316766534676,-0.16047220323536113,0.3253968253968254,0.32094440647072225,3,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5843137254901961,0.24362937331795462,0.4156862745098039,6.266666666666667,0.6398333333333334,0.003820966666666664,0.031628571428571416,0.15599999999999992,0.7,0.544,0,0,0.5,0.0,0.0,6,1.9459101490553132,3,3,20,125.33333333333333,324,38558.333333333336
chatbot_arena_0005,0.0617962502024071,0.0024452654289806265,-0.048301105823449424,0.11621477937267412,0.09660221164689885,3,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.3333333333333333,0.5,0.0,0.5961538461538461,0.19732084155161078,0.40384615384615385,0.8211920529801324,0.55025,0.0015007750000000004,0.011328571428571452,0.11049999999999999,0.584,0.4735,1,0,0.5,0.0,0.0,6,1.9459101490553132,3,3,50.333333333333336,41.333333333333336,42.333333333333336,108.33333333333333
chatbot_arena_0008,0.18475558596278102,0.0014513630665735214,-0.05387695363647654,0.2116940627810193,0.05387695363647654,2,0.375,0.0625,0.05,0.5,0.25,0.5,0.25,0.0,0.0,1.0,0.0,0.9285714285714286,0.0,0.0714285714285714,10.0,0.480225,0.0004855691666666664,-0.016369999999999996,0.044499999999999984,0.5041,0.4596,0,0,0.5,0.0,0.0,4,1.6094379124341003,2,2,19.5,205,364.5,882
chatbot_arena_0009,0.21063189813189814,0.00019500448470408617,-0.01974864474864471,0.22050622050622048,0.01974864474864471,2,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.8461538461538461,0.0,0.15384615384615385,8.6,0.45947499999999997,0.0014922624999999978,-0.017789999999999983,0.07759999999999995,0.5044,0.4268,1,1,0.5,0.0,0.0,4,1.6094379124341003,2,2,7.5,64.5,0.5,180.5
chatbot_arena_0010,0.25816498316498315,0.02671395492523438,-0.23114478114478113,0.3737373737373737,0.23114478114478113,2,0.125,0.0625,0.05,0.5,0.0,0.25,0.25,0.0,0.0,1.0,0.0,0.9166666666666666,0.0,0.08333333333333337,10.0,0.4699,0.0021365133333333345,-0.030940000000000006,0.09030000000000005,0.5169,0.4266,1,0,0.48,0.0016000000000000007,0.008000000000000002,4,1.6094379124341003,2,2,7.5,133.5,24.5,12324.5
chatbot_arena_0011,0.08333333333333333,0.013888888888888888,-0.16666666666666666,0.16666666666666666,0.16666666666666666,2,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.3333333333333333,0.516125,0.0007570625000000002,-0.0066500000000000005,0.0665,0.5455,0.479,1,1,0.5,0.0,0.0,4,1.6094379124341003,2,2,4.5,6,24.5,0
chatbot_arena_0012,0.16269841269841268,0.005322499370118417,-0.10317460317460317,0.21428571428571427,0.10317460317460317,2,0.25,0.08333333333333333,-0.2,0.5,0.5,0.0,-0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.6,0.5139,0.0032312066666666654,-0.02842,0.12989999999999996,0.591,0.4611,1,0,0.5,0.0,0.0,4,1.6094379124341003,2,2,5,8,18,2
chatbot_arena_0015,0.15894405729771582,0.0034498361727091083,0.08306426635694929,0.20047619047619047,0.08306426635694929,2,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,10.0,0.48772499999999996,0.0005595624999999997,-0.005789999999999995,0.057599999999999985,0.5143,0.4567,1,1,0.5,0.0,0.0,4,1.6094379124341003,2,2,5,83,8,3528
chatbot_arena_0018,0.11759478607018403,4.5248634332195465e-05,0.0029798915290046566,0.12681380010147134,0.01570268899036023,4,0.1875,0.06696428571428571,0.017857142857142856,0.5,0.125,0.25,0.125,0.0,0.0,0.0,0.0,0.7194200779727096,0.04447206156025214,0.28057992202729043,10.0,0.579375,0.010390253571428573,0.0017476190476190482,0.2252,0.6866,0.4614,3,3,0.3,0.038400000000000004,-0.009523809523809525,8,2.1972245773362196,4,4,13.75,153,26.25,3810
