conv_id,source,n_messages,first_human_msg,rater_human_role,rater_ai_role,rater_confidence_human,rater_confidence_ai,rater_notes
chatbot_arena_0045,chatbot_arena,6,,,,,,
chatbot_arena_0059,chatbot_arena,4,,,,,,
chatbot_arena_0098,chatbot_arena,8,,,,,,
chatbot_arena_0125,chatbot_arena,4,,,,,,
chatbot_arena_0142,chatbot_arena,6,,,,,,
chatbot_arena_0210,chatbot_arena,4,,,,,,
chatbot_arena_0261,chatbot_arena,6,,,,,,
chatbot_arena_02690,chatbot_arena,6,,,,,,
chatbot_arena_03385,chatbot_arena,6,,,,,,
chatbot_arena_0403,chatbot_arena,4,,,,,,
chatbot_arena_0426,chatbot_arena,4,,,,,,
chatbot_arena_04298,chatbot_arena,6,,,,,,
chatbot_arena_0437,chatbot_arena,4,,,,,,
chatbot_arena_04494,chatbot_arena,8,,,,,,
chatbot_arena_0451,chatbot_arena,4,,,,,,
chatbot_arena_0494,chatbot_arena,4,,,,,,
chatbot_arena_0500,chatbot_arena,4,,,,,,
chatbot_arena_0584,chatbot_arena,4,,,,,,
chatbot_arena_0607,chatbot_arena,4,,,,,,
chatbot_arena_06329,chatbot_arena,6,,,,,,
chatbot_arena_06403,chatbot_arena,8,,,,,,
chatbot_arena_0787,chatbot_arena,4,,,,,,
chatbot_arena_0796,chatbot_arena,4,,,,,,
chatbot_arena_09112,chatbot_arena,6,,,,,,
chatbot_arena_09840,chatbot_arena,6,,,,,,
chatbot_arena_10080,chatbot_arena,8,,,,,,
chatbot_arena_10310,chatbot_arena,8,,,,,,
chatbot_arena_10350,chatbot_arena,8,,,,,,
chatbot_arena_1062,chatbot_arena,4,,,,,,
chatbot_arena_1088,chatbot_arena,4,,,,,,
chatbot_arena_12061,chatbot_arena,6,,,,,,
chatbot_arena_1298,chatbot_arena,4,,,,,,
chatbot_arena_1312,chatbot_arena,4,,,,,,
chatbot_arena_1332,chatbot_arena,4,,,,,,
chatbot_arena_1338,chatbot_arena,4,,,,,,
chatbot_arena_1347,chatbot_arena,4,,,,,,
chatbot_arena_1387,chatbot_arena,4,,,,,,
chatbot_arena_1391,chatbot_arena,4,,,,,,
chatbot_arena_1423,chatbot_arena,4,,,,,,
chatbot_arena_1431,chatbot_arena,4,,,,,,
chatbot_arena_1453,chatbot_arena,4,,,,,,
chatbot_arena_15230,chatbot_arena,6,,,,,,
chatbot_arena_1641,chatbot_arena,4,,,,,,
chatbot_arena_1657,chatbot_arena,4,,,,,,
chatbot_arena_16597,chatbot_arena,6,,,,,,
chatbot_arena_1668,chatbot_arena,4,,,,,,
chatbot_arena_1705,chatbot_arena,4,,,,,,
chatbot_arena_17055,chatbot_arena,8,,,,,,
chatbot_arena_1708,chatbot_arena,4,,,,,,
chatbot_arena_17629,chatbot_arena,6,,,,,,
chatbot_arena_17814,chatbot_arena,6,,,,,,
